P01,Moscow Pa,412230,753730,0.29201,-1.32037,412230,753000,0.29898,-1.33412,411500,753730,0.29707,-1.31934,411500,753000,0.30135,-1.33083
P02,Sterling Pa,412230,753000,0.29898,-1.33412,412230,752230,0.31044,-1.34591,411500,753000,0.30135,-1.33083,411500,752230,0.31276,-1.34012
P03,Newfoundland Pa,412230,752230,0.31044,-1.34591,412230,751500,0.32189,-1.35769,411500,752230,0.31276,-1.34012,411500,751500,0.32416,-1.34942
P04,Hawley Pa (Q3),412230,751500,0.32189,-1.35769,412230,750730,0.32503,-1.37225,411500,751500,0.32416,-1.34942,411500,750730,0.32967,-1.36448
P05,Hawley Pa (Q4),412230,750730,0.32503,-1.37225,412230,750000,0.32816,-1.38681,411500,750730,0.32967,-1.36448,411500,750000,0.33517,-1.37954
P06,Edgemere Pa,412230,750000,0.32816,-1.38681,412230,745230,0.33247,-1.39805,411500,750000,0.32517,-1.37954,411500,745230,0.33924,-1.39220
001,Milford Pa-NJ,412230,745230,0.33247,-1.39805,412230,744500,0.33677,-1.40929,411500,745230,0.33924,-1.39220,411500,744500,0.34331,-1.40487
002,Port Jervis South NJ-NY-Pa,412230,744500,0.33677,-1.40929,412230,743730,0.33799,-1.41823,411500,744500,0.34331,-1.40487,411500,743730,0.34235,-1.41660
003,Unionville NY-NJ,412230,743730,0.33799,-1.41823,412230,743000,0.33920,-1.42717,411500,743730,0.34235,-1.41660,411500,743000,0.34140,-1.42833
004,Pine Island NY-NJ,412230,743000,0.33920,-1.42717,412230,742230,0.33826,-1.44469,411500,743000,0.34140,-1.42833,411500,742230,0.33912,-1.44637
N01,Warwick NY,412230,742230,0.33826,-1.44469,412230,741500,0.33732,-1.46222,411500,742230,0.33912,-1.44637,411500,741500,0.33683,-1.46441
N02,Monroe NY,412230,741500,0.33732,-1.46222,412230,740730,0.33760,-1.47861,411500,741500,0.33683,-1.46441,411500,740730,0.33742,-1.47870
N03,Popolopen NY,412230,740730,0.33760,-1.47861,412230,740000,0.33788,-1.49500,411500,740730,0.33742,-1.47870,411500,740000,0.33800,-1.49300
N04,Peekskill NY,412230,740000,0.33788,-1.49500,412230,735230,0.33759,-1.50954,411500,740000,0.33800,-1.49300,411500,735230,0.33850,-1.50750
N05,Mohegan NY,412230,735230,0.33759,-1.50954,412230,734500,0.33729,-1.52407,411500,735230,0.33850,-1.50750,411500,734500,0.33900,-1.52200
N06,Croton NY,412230,734500,0.33729,-1.52407,412230,733730,0.33920,-1.53922,411500,734500,0.33900,-1.52200,411500,733730,0.30585,-1.31869
P07,Thornhurst Pa,411500,753730,0.29707,-1.31934,411500,753000,0.30135,-1.33083,410730,753730,0.30585,-1.31869,410730,753000,0.31134,-1.32934
P08,Tobyhanna Pa,411500,753000,0.30135,-1.33083,411500,752230,0.31276,-1.34012,410730,753000,0.31134,-1.32934,410730,752230,0.32050,-1.33779
P09,Pocono Pa (Q2),411500,752230,0.31276,-1.34012,411500,751500,0.32416,-1.34942,410730,752230,0.32050,-1.33779,410730,751500,0.32996,-1.34624
P10,Skytop Pa,411500,751500,0.32416,-1.34942,411500,750730,0.32967,-1.36448,410730,751500,0.32996,-1.34624,410730,750730,0.33616,-1.36143
P11,Twelvemile Pond Pa,411500,750730,0.32967,-1.36448,411500,750000,0.33517,-1.37954,410730,750730,0.33616,-1.36143,410730,750000,0.34266,-1.37662
005,Lake Maskenozha Pa-NJ,411500,750000,0.33517,-1.37954,411500,745230,0.33924,-1.39220,410730,750000,0.34266,-1.37662,410730,745230,0.34506,-1.39118
006,Culvers Gap NJ-Pa,411500,745230,0.33924,-1.39220,411500,744500,0.34331,-1.40487,410730,745230,0.34506,-1.39118,410730,744500,0.34745,-1.40573
007,Branchville NJ,411500,744500,0.34331,-1.40487,411500,743730,0.34235,-1.41660,410730,744500,0.34745,-1.40573,410730,743730,0.34726,-1.41899
008,Hamburg NJ,411500,743730,0.34235,-1.41660,411500,743000,0.34140,-1.42833,410730,743730,0.34726,-1.41899,410730,743000,0.34707,-1.43225
009,Wawayanda NJ-NY,411500,743000,0.34140,-1.42833,411500,742230,0.33912,-1.44637,410730,743000,0.34707,-1.43225,410730,742230,0.34544,-1.44992
010,Greenwood Lake NY-NJ,411500,742230,0.33912,-1.44637,411500,741500,0.33683,-1.46441,410730,742230,0.34544,-1.44992,410730,741500,0.34382,-1.46759
011,Sloatsburg NY-NJ,411500,741500,0.33683,-1.46441,411500,740730,0.33742,-1.47870,410730,741500,0.34382,-1.46759,410730,740730,0.34417,-1.48257
N07,Thiells NY,411500,740730,0.33742,-1.47870,411500,740000,0.33800,-1.49300,410730,740730,0.34417,-1.48257,410730,740000,0.34451,-1.49754
N08,Haverstraw NY,411500,740000,0.33800,-1.49300,411500,735230,0.33850,-1.50750,410730,740000,0.34451,-1.49754,410730,735230,0.34500,-1.51100
N09,Ossining NY,411500,735230,0.33850,-1.50750,411500,734500,0.33900,-1.52200,410730,735230,0.34500,-1.51100,410730,734500,0.34549,-1.52447
N10,Mount Kisco NY,411500,734500,0.33900,-1.52200,411500,733730,0.30585,-1.31869,410730,734500,0.34549,-1.52447,410730,733730,0.34630,-1.54223
